img_path,categories_id
dtset1/374815_objt_of_2021-01-06_09-19-22-66_003.JPG,0
dtset1/597385_objt_rb_2021-02-05_09-43-54-00_002.JPG,4
dtset1/552264_objt_kr_2021-02-05_09-55-29-66_003.JPG,1
dtset1/376453_objt_of_2021-01-07_09-16-18-66_003.JPG,0
dtset1/374816_objt_of_2021-01-08_13-10-32-66_003.JPG,0
dtset1/536852_objt_kr_2021-02-05_09-12-40-66_003.JPG,1
dtset1/73803_objt_bp_2020-12-02_08-35-43-66_003.JPG,3
dtset1/220877_objt_rb_2020-12-29_14-24-17-66_003.jpg,4
dtset1/609937_objt_kr_2021-02-05_17-17-40-00_001.JPG,1
dtset1/630719_objt_kr_2021-02-06_09-10-02-33_002.JPG,1
dtset1/601053_objt_rb_2021-02-05_09-52-32-66_003.JPG,4
dtset1/372311_objt_of_2021-01-12_12-00-18-66_003.JPG,0
dtset1/552952_objt_of_2021-02-05_10-23-24-33_002.JPG,0
dtset1/220675_objt_rs_2021-01-04_11-05-47-00_001.jpg,2
dtset1/307642_objt_bp_2021-01-19_12-10-35-00_001.JPG,3
dtset1/552297_objt_kr_2021-02-05_09-57-37-00_001.JPG,1
dtset1/600747_objt_of_2021-02-04_11-54-08-66_003.JPG,0
dtset1/82955_objt_bp_2020-12-02_13-43-42-00_001.JPG,3
dtset1/220381_objt_rs_2021-01-04_10-59-38-66_003.jpg,2
dtset1/116672_objt_rs_2020-12-15_10-11-14-66_003.JPG,2
dtset1/600711_objt_rb_2021-02-05_09-49-24-00_002.JPG,4
dtset1/372377_objt_of_2021-01-12_12-10-34-33_002.JPG,0
dtset1/361121_objt_rb_2021-01-23_11-54-28-00_001.JPG,4
dtset1/630658_objt_kr_2021-02-06_09-07-08-00_001.JPG,1
dtset1/597308_objt_rb_2021-02-05_09-42-26-66_004.JPG,4
dtset1/308187_objt_bp_2021-01-19_12-17-11-33_003.JPG,3
dtset1/82819_objt_rs_2020-12-05_10-35-47-66_003.JPG,2
